SpeciesCode,HUCID
IsotriaMedeoloides,0107000401
IsotriaMedeoloides,0107000613
IsotriaMedeoloides,0107000403
IsotriaMedeoloides,0108020202
IsotriaMedeoloides,0107000404
IsotriaMedeoloides,0108020201
IsotriaMedeoloides,0107000610
IsotriaMedeoloides,0108020104
IsotriaMedeoloides,0107000611
IsotriaMedeoloides,0107000614
IsotriaMedeoloides,0107000612
IsotriaMedeoloides,0107000609
IsotriaMedeoloides,0106000308
IsotriaMedeoloides,0107000607
IsotriaMedeoloides,0107000301
IsotriaMedeoloides,0107000608
IsotriaMedeoloides,0107000606
IsotriaMedeoloides,0106000310
IsotriaMedeoloides,0106000307
IsotriaMedeoloides,0106000309
IsotriaMedeoloides,0107000302
IsotriaMedeoloides,0107000303
IsotriaMedeoloides,0108020101
IsotriaMedeoloides,0107000603
IsotriaMedeoloides,0107000605
IsotriaMedeoloides,0107000306
IsotriaMedeoloides,0106000311
IsotriaMedeoloides,0107000304
IsotriaMedeoloides,0107000602
IsotriaMedeoloides,0106000303
IsotriaMedeoloides,0107000601
IsotriaMedeoloides,0106000304
IsotriaMedeoloides,0106000306
IsotriaMedeoloides,0107000604
IsotriaMedeoloides,0106000301
IsotriaMedeoloides,0107000305
IsotriaMedeoloides,0108010604
IsotriaMedeoloides,0106000302
IsotriaMedeoloides,0106000305
IsotriaMedeoloides,0107000107
IsotriaMedeoloides,0108010603
IsotriaMedeoloides,0107000202
IsotriaMedeoloides,0107000108
IsotriaMedeoloides,0107000106
IsotriaMedeoloides,0106000207
IsotriaMedeoloides,0106000210
IsotriaMedeoloides,0108010404
IsotriaMedeoloides,0107000105
IsotriaMedeoloides,0108010601
IsotriaMedeoloides,0107000201
IsotriaMedeoloides,0106000211
IsotriaMedeoloides,0106000209
IsotriaMedeoloides,0106000208
IsotriaMedeoloides,0106000206
IsotriaMedeoloides,0107000104
IsotriaMedeoloides,0108010402
IsotriaMedeoloides,0107000103
IsotriaMedeoloides,0106000202
IsotriaMedeoloides,0106000205
IsotriaMedeoloides,0108010307
IsotriaMedeoloides,0107000102
IsotriaMedeoloides,0107000101
IsotriaMedeoloides,0108010401
IsotriaMedeoloides,0106000203
IsotriaMedeoloides,0104000210
